year,month,day,hour,minute,second,recnt_Humidity,recnt_Temperature,Target_Humidity
2020.0,02.0,22.0,20.0,10.0,00.0,65.4,73.0,64.6
2020.0,02.0,22.0,20.0,20.0,00.0,64.6,73.0,64.2
2020.0,02.0,22.0,20.0,30.0,00.0,64.2,73.0,64.0
2020.0,02.0,22.0,20.0,40.0,00.0,64.0,73.0,63.4
2020.0,02.0,22.0,20.0,50.0,00.0,63.4,73.2,63.2
2020.0,02.0,22.0,21.0,00.0,00.0,63.2,73.0,63.2
2020.0,02.0,22.0,21.0,10.0,00.0,63.2,73.0,63.0
2020.0,02.0,22.0,21.0,20.0,00.0,63.0,73.0,63.0
2020.0,02.0,22.0,21.0,30.0,00.0,63.0,73.0,62.4
2020.0,02.0,22.0,21.0,40.0,00.0,62.4,73.0,62.6
2020.0,02.0,22.0,21.0,50.0,00.0,62.6,73.0,63.2
2020.0,02.0,22.0,22.0,00.0,00.0,63.2,72.8,62.6
2020.0,02.0,22.0,22.0,10.0,00.0,62.6,73.0,62.8
2020.0,02.0,22.0,22.0,20.0,00.0,62.8,73.0,63.2
2020.0,02.0,22.0,22.0,30.0,00.0,63.2,73.0,62.4
2020.0,02.0,22.0,22.0,40.0,00.0,62.4,73.0,62.2
2020.0,02.0,22.0,22.0,50.0,00.0,62.2,73.0,62.0
2020.0,02.0,22.0,23.0,00.0,00.0,62.0,73.0,62.0
2020.0,02.0,22.0,23.0,10.0,00.0,62.0,72.8,62.4
2020.0,02.0,22.0,23.0,20.0,00.0,62.4,72.6,63.2
2020.0,02.0,22.0,23.0,30.0,00.0,63.2,72.0,63.6
2020.0,02.0,22.0,23.0,40.0,00.0,63.6,71.8,64.6
2020.0,02.0,22.0,23.0,50.0,00.0,64.6,71.4,65.2
2020.0,02.0,23.0,00.0,00.0,00.0,65.2,71.2,65.0
2020.0,02.0,23.0,00.0,10.0,00.0,65.0,71.0,65.8
2020.0,02.0,23.0,00.0,20.0,00.0,65.8,71.0,65.8
2020.0,02.0,23.0,00.0,30.0,00.0,65.8,71.0,65.2
2020.0,02.0,23.0,00.0,40.0,00.0,65.2,71.2,65.6
2020.0,02.0,23.0,00.0,50.0,00.0,65.6,71.0,65.0
2020.0,02.0,23.0,01.0,00.0,00.0,65.0,72.0,65.6
2020.0,02.0,23.0,01.0,10.0,00.0,65.6,71.0,66.0
2020.0,02.0,23.0,01.0,20.0,00.0,66.0,71.0,65.6
2020.0,02.0,23.0,01.0,30.0,00.0,65.6,71.0,65.2
2020.0,02.0,23.0,01.0,40.0,00.0,65.2,71.0,65.0
2020.0,02.0,23.0,01.0,50.0,00.0,65.0,71.0,64.0
2020.0,02.0,23.0,02.0,00.0,00.0,64.0,71.6,64.0
2020.0,02.0,23.0,02.0,10.0,00.0,64.0,72.0,63.2
2020.0,02.0,23.0,02.0,20.0,00.0,63.2,72.2,62.4
2020.0,02.0,23.0,02.0,30.0,00.0,62.4,72.8,61.0
2020.0,02.0,23.0,02.0,40.0,00.0,61.0,73.0,60.4
2020.0,02.0,23.0,02.0,50.0,00.0,60.4,73.0,58.8
2020.0,02.0,23.0,03.0,00.0,00.0,58.8,73.8,57.4
2020.0,02.0,23.0,03.0,10.0,00.0,57.4,74.0,56.0
2020.0,02.0,23.0,03.0,20.0,00.0,56.0,75.0,55.2
2020.0,02.0,23.0,03.0,30.0,00.0,55.2,75.2,54.6
2020.0,02.0,23.0,03.0,40.0,00.0,54.6,75.6,53.8
2020.0,02.0,23.0,03.0,50.0,00.0,53.8,76.2,52.0
2020.0,02.0,23.0,04.0,00.0,00.0,52.0,77.0,50.6
2020.0,02.0,23.0,04.0,10.0,00.0,50.6,77.4,49.8
2020.0,02.0,23.0,04.0,20.0,00.0,49.8,78.0,48.2
2020.0,02.0,23.0,04.0,30.0,00.0,48.2,78.6,47.0
2020.0,02.0,23.0,04.0,40.0,00.0,47.0,79.0,46.0
2020.0,02.0,23.0,04.0,50.0,00.0,46.0,79.8,44.8
2020.0,02.0,23.0,05.0,00.0,00.0,44.8,80.4,42.0
2020.0,02.0,23.0,05.0,10.0,00.0,42.0,81.0,40.2
2020.0,02.0,23.0,05.0,20.0,00.0,40.2,82.0,40.4
2020.0,02.0,23.0,05.0,30.0,00.0,40.4,83.0,39.6
2020.0,02.0,23.0,05.0,40.0,00.0,39.6,84.0,37.4
2020.0,02.0,23.0,05.0,50.0,00.0,37.4,85.0,35.0
2020.0,02.0,23.0,06.0,00.0,00.0,35.0,85.8,33.8
2020.0,02.0,23.0,06.0,10.0,00.0,33.8,86.4,33.0
2020.0,02.0,23.0,06.0,20.0,00.0,33.0,87.4,29.8
2020.0,02.0,23.0,06.0,30.0,00.0,29.8,88.2,30.6
2020.0,02.0,23.0,06.0,40.0,00.0,30.6,88.8,30.2
2020.0,02.0,23.0,06.0,50.0,00.0,30.2,88.2,29.4
2020.0,02.0,23.0,07.0,00.0,00.0,29.4,88.8,29.2
2020.0,02.0,23.0,07.0,10.0,00.0,29.2,88.8,29.0
2020.0,02.0,23.0,07.0,20.0,00.0,29.0,89.0,28.4
2020.0,02.0,23.0,07.0,30.0,00.0,28.4,89.0,28.8
2020.0,02.0,23.0,07.0,40.0,00.0,28.8,89.4,28.2
2020.0,02.0,23.0,07.0,50.0,00.0,28.2,89.8,27.8
2020.0,02.0,23.0,08.0,00.0,00.0,27.8,91.0,27.0
2020.0,02.0,23.0,08.0,10.0,00.0,27.0,91.2,26.0
2020.0,02.0,23.0,08.0,20.0,00.0,26.0,91.4,25.6
2020.0,02.0,23.0,08.0,30.0,00.0,25.6,91.6,25.6
2020.0,02.0,23.0,08.0,40.0,00.0,25.6,91.6,25.0
2020.0,02.0,23.0,08.0,50.0,00.0,25.0,92.8,24.6
2020.0,02.0,23.0,09.0,00.0,00.0,24.6,92.6,24.0
2020.0,02.0,23.0,09.0,10.0,00.0,24.0,93.0,23.6
2020.0,02.0,23.0,09.0,20.0,00.0,23.6,93.6,22.8
2020.0,02.0,23.0,09.0,30.0,00.0,22.8,95.0,22.8
2020.0,02.0,23.0,09.0,40.0,00.0,22.8,94.0,21.8
